emp_no,first_name,last_name,to_date,dept_no,dept_name
11048,Jaques,Demke,9999-01-01,d007,Sales
11106,Aris,Iwayama,9999-01-01,d005,Development
11121,Vugranam,Kakkad,9999-01-01,d005,Development
11137,Hugh,Luca,9999-01-01,d005,Development
11146,Ishfaq,Masand,9999-01-01,d007,Sales
11162,Kauko,Narlikar,9999-01-01,d005,Development
11180,Mitsuyuki,Bojadziev,9999-01-01,d005,Development
11197,Tadahiro,Fordan,9999-01-01,d007,Sales
11207,Saeed,Gips,9999-01-01,d005,Development
11240,Kiam,Condotta,9999-01-01,d005,Development
11249,Randi,Cyre,9999-01-01,d005,Development
11275,Hitomi,Eppinger,9999-01-01,d005,Development
11290,Visit,Dredge,9999-01-01,d005,Development
11319,Pranas,Marrakchi,9999-01-01,d005,Development
11338,Kwangsub,Hanratty,9999-01-01,d007,Sales
11347,Anneli,Jonsson,9999-01-01,d005,Development
11380,Kenroku,Pelc,9999-01-01,d005,Development
11404,Bedrich,Borovoy,9999-01-01,d005,Development
11441,Marlo,Aingworth,9999-01-01,d007,Sales
11506,Rance,Picel,9999-01-01,d007,Sales
11509,Aleksander,Feldhoffer,9999-01-01,d005,Development
11515,Ulf,Basawa,9999-01-01,d007,Sales
11524,Xiadong,Standera,9999-01-01,d005,Development
11537,DAIDA,Pehl,9999-01-01,d007,Sales
11567,Teiji,Mitzlaff,9999-01-01,d007,Sales
11568,Martins,Fujisaki,9999-01-01,d005,Development
11615,Shem,Isaak,9999-01-01,d007,Sales
11640,Valeri,Coorg,9999-01-01,d005,Development
11647,Magy,Nitsche,9999-01-01,d005,Development
11660,Gill,Stenning,9999-01-01,d007,Sales
11696,Dante,Rothe,9999-01-01,d007,Sales
11746,Koichi,Marrakchi,9999-01-01,d007,Sales
11769,Chandrasekaran,Lampe,9999-01-01,d005,Development
11772,Gaurav,Penz,9999-01-01,d005,Development
11810,Amabile,Bhattacharjee,9999-01-01,d005,Development
11817,Niranjan,Markovitch,9999-01-01,d007,Sales
11832,Arto,Zlotek,9999-01-01,d005,Development
11844,Shawna,Demeyer,9999-01-01,d005,Development
11857,Divier,Farrag,9999-01-01,d007,Sales
11871,Nalini,Sommen,9999-01-01,d005,Development
11894,Mitchel,Validov,9999-01-01,d005,Development
11897,Cordelia,Setlzner,9999-01-01,d007,Sales
11906,Hideo,Boguraev,9999-01-01,d005,Development
11933,Basil,Erman,9999-01-01,d005,Development
11983,Jaana,Hedayat,9999-01-01,d005,Development
12011,Zhilian,Coorg,9999-01-01,d007,Sales
12036,Mads,Ratzlaff,9999-01-01,d007,Sales
12069,Ayonca,Burnard,9999-01-01,d005,Development
12070,Ger,Shokrollahi,9999-01-01,d005,Development
12076,Karlis,Siprelle,9999-01-01,d007,Sales
12082,Xinan,Yamaashi,9999-01-01,d007,Sales
12099,Nobuyoshi,Kuzuoka,9999-01-01,d007,Sales
12149,Suebskul,Grandbois,9999-01-01,d007,Sales
12159,Shem,Perly,9999-01-01,d005,Development
12165,Xiaobin,Maquelin,9999-01-01,d005,Development
12205,Sushant,Rossi,9999-01-01,d005,Development
12206,Barton,Janetzko,9999-01-01,d005,Development
12221,Vincent,Melter,9999-01-01,d005,Development
12247,Subbu,Penttonen,9999-01-01,d005,Development
12249,Eldridge,Sadowski,9999-01-01,d005,Development
12264,Mart,Pagter,9999-01-01,d005,Development
12311,Susanne,Lubachevsky,9999-01-01,d005,Development
12327,DAIDA,Bruckman,9999-01-01,d005,Development
12341,Rasiah,Luga,9999-01-01,d005,Development
12373,Mooi,Driscoll,9999-01-01,d007,Sales
12399,Mihalis,Luga,9999-01-01,d007,Sales
12411,Shao,Ibel,9999-01-01,d007,Sales
12454,Kerryn,Farris,9999-01-01,d007,Sales
12464,Shai,Milicic,9999-01-01,d007,Sales
12475,Filipe,Roison,9999-01-01,d005,Development
12489,Arnould,Munck,9999-01-01,d005,Development
12490,Jackson,Muchinsky,9999-01-01,d005,Development
12497,Stein,Penz,9999-01-01,d007,Sales
12514,Tomofumi,Melter,9999-01-01,d005,Development
12541,Shih,Nanard,9999-01-01,d007,Sales
12589,Anoosh,Chleq,9999-01-01,d005,Development
12601,Ghassan,Simkin,9999-01-01,d005,Development
12638,Yuqun,Seiwald,9999-01-01,d005,Development
12651,Pragnesh,Bael,9999-01-01,d007,Sales
12662,Leucio,Alvarado,9999-01-01,d005,Development
12663,Nobuyoshi,Stellhorn,9999-01-01,d005,Development
12689,Luerbio,Boudaillier,9999-01-01,d005,Development
12709,Ronghao,Botman,9999-01-01,d005,Development
12726,Fumitake,Panwar,9999-01-01,d005,Development
12732,Mara,Takanami,9999-01-01,d007,Sales
12734,Gil,Frijda,9999-01-01,d005,Development
12773,Jenwei,Lovengreen,9999-01-01,d005,Development
12790,Gunilla,Perl,9999-01-01,d007,Sales
12798,Lillian,Beeson,9999-01-01,d007,Sales
12848,Kazuhide,Smeets,9999-01-01,d005,Development
12872,Marl,Schmittgen,9999-01-01,d007,Sales
12879,Baruch,Eugenio,9999-01-01,d005,Development
12890,Neven,Casley,9999-01-01,d007,Sales
12893,Licheng,Crouzet,9999-01-01,d007,Sales
12905,Munehiro,Gecsei,9999-01-01,d005,Development
12940,Odinaldo,Farrar,9999-01-01,d005,Development
12941,Tommaso,Perelgut,9999-01-01,d005,Development
12949,Geoff,Asrin,9999-01-01,d005,Development
12977,Byong,Markovitch,9999-01-01,d005,Development
13047,Atilio,Chelton,9999-01-01,d005,Development
13076,Deniz,Skafidas,9999-01-01,d005,Development
13103,Srinidhi,Ellozy,9999-01-01,d005,Development
13124,Quingbo,Garnick,9999-01-01,d007,Sales
13146,Haldon,Erie,9999-01-01,d007,Sales
13147,Shichao,Ginesta,9999-01-01,d007,Sales
13156,Akeel,Millington,9999-01-01,d005,Development
13173,Arve,Horswill,9999-01-01,d007,Sales
13179,Moty,Janocha,9999-01-01,d007,Sales
13186,Kyoichi,Barbanera,9999-01-01,d007,Sales
13213,Hein,Billawala,9999-01-01,d007,Sales
13232,Mitchel,Fujisaki,9999-01-01,d005,Development
13233,Alselm,Chvatal,9999-01-01,d005,Development
13238,Ebru,Foote,9999-01-01,d007,Sales
13240,King,Pileggi,9999-01-01,d005,Development
13291,Georg,Stamatiou,9999-01-01,d005,Development
13302,Mack,Alencar,9999-01-01,d005,Development
13315,Sakthirel,Stroustrup,9999-01-01,d005,Development
13386,Khosrow,Sgarro,9999-01-01,d005,Development
13392,Fumitake,Beidas,9999-01-01,d007,Sales
13405,Randy,Baba,9999-01-01,d007,Sales
13493,Uinam,Jullig,9999-01-01,d005,Development
13504,Parto,Mandell,9999-01-01,d005,Development
13524,Chaoyi,Porotnikoff,9999-01-01,d007,Sales
13549,Matk,Koprowski,9999-01-01,d005,Development
13576,Jungsoon,Engberts,9999-01-01,d005,Development
13605,Dmitry,Encarnacion,9999-01-01,d007,Sales
13621,Fei,Haddadi,9999-01-01,d005,Development
13629,Dzung,Trelles,9999-01-01,d005,Development
13670,Moti,Takanami,9999-01-01,d005,Development
13680,Denny,Speer,9999-01-01,d007,Sales
13685,Weicheng,Hockney,9999-01-01,d005,Development
13697,Shuichi,Weedon,9999-01-01,d005,Development
13721,Sugwoo,Delgrossi,9999-01-01,d007,Sales
13738,Bangqing,Mitchem,9999-01-01,d005,Development
13769,Yakichi,Trogemann,9999-01-01,d007,Sales
13775,Arve,Maierhofer,9999-01-01,d007,Sales
13786,Takushi,Berendt,9999-01-01,d007,Sales
13796,Paloma,Thorelli,9999-01-01,d005,Development
13859,Anoosh,Fujisawa,9999-01-01,d005,Development
13904,Youngkon,Cairo,9999-01-01,d005,Development
13934,Shiv,Bratsberg,9999-01-01,d005,Development
13942,Elzbieta,Esteva,9999-01-01,d005,Development
13951,Mooi,Genther,9999-01-01,d007,Sales
13969,Jianwen,Chandrasekhar,9999-01-01,d005,Development
13990,Deborah,Schapiro,9999-01-01,d005,Development
14005,Vojin,Stellhorn,9999-01-01,d005,Development
14191,Jiann,Luby,9999-01-01,d005,Development
14232,Masali,Bojadziev,9999-01-01,d005,Development
14310,Marlo,Leuchs,9999-01-01,d007,Sales
14322,Shem,Kakkad,9999-01-01,d005,Development
14354,Mong,Bojadziev,9999-01-01,d007,Sales
14384,Tomofumi,Holburn,9999-01-01,d005,Development
14434,Elvis,Maginnis,9999-01-01,d005,Development
14478,Munehiro,Boissier,9999-01-01,d007,Sales
14483,Supot,Marrevee,9999-01-01,d005,Development
14516,Kristian,Underwood,9999-01-01,d007,Sales
14552,Ibibia,Snyers,9999-01-01,d005,Development
14560,Elrique,Driscoll,9999-01-01,d005,Development
14581,Gao,Condotta,9999-01-01,d005,Development
14582,Kiyokazu,Morrin,9999-01-01,d005,Development
14603,Lech,Marquardt,9999-01-01,d005,Development
14607,Suzette,Selvestrel,9999-01-01,d007,Sales
14621,Souichi,Wixon,9999-01-01,d007,Sales
14639,Arvind,Hempstead,9999-01-01,d007,Sales
14640,Toshimori,Kornatzky,9999-01-01,d005,Development
14642,Florian,Kuhnemann,9999-01-01,d005,Development
14645,Laurentiu,Glinert,9999-01-01,d005,Development
14648,IEEE,Lorys,9999-01-01,d007,Sales
14690,Yechezkel,Bellone,9999-01-01,d005,Development
14793,Stein,Uchoa,9999-01-01,d005,Development
14821,Oguz,Kilgore,9999-01-01,d005,Development
14839,Changho,Cronin,9999-01-01,d005,Development
14853,Taiji,Nergos,9999-01-01,d005,Development
14877,Arto,Meriste,9999-01-01,d005,Development
14879,Anyuan,Sigstam,9999-01-01,d005,Development
14888,Temple,Barriga,9999-01-01,d007,Sales
14899,Alejandro,Casley,9999-01-01,d007,Sales
14909,Mohan,Kamble,9999-01-01,d005,Development
14914,Gretta,Benzaken,9999-01-01,d005,Development
14923,Shuzo,Gyorkos,9999-01-01,d005,Development
14941,Nathan,Lichtner,9999-01-01,d005,Development
14954,Fox,Magliocco,9999-01-01,d005,Development
14993,Sanjay,Koblitz,9999-01-01,d005,Development
15030,Rasikan,Nourani,9999-01-01,d007,Sales
15036,Ziva,Delgrande,9999-01-01,d005,Development
15066,Tomokazu,Oaver,9999-01-01,d005,Development
15071,Ayonca,Couchot,9999-01-01,d007,Sales
15082,Guadalupe,Zirintsis,9999-01-01,d005,Development
15089,Giri,Coney,9999-01-01,d005,Development
15114,Pantung,Honglei,9999-01-01,d005,Development
15134,Arun,Luiz,9999-01-01,d007,Sales
15176,Charlene,Sankaranarayanan,9999-01-01,d007,Sales
15193,Neelam,Schach,9999-01-01,d005,Development
15196,Souichi,Duclos,9999-01-01,d005,Development
15230,Keiichiro,Suessmith,9999-01-01,d005,Development
15234,Jouko,Zhiwei,9999-01-01,d005,Development
15237,Reinhard,Sadowsky,9999-01-01,d005,Development
15271,Shiv,Bernardeschi,9999-01-01,d007,Sales
15292,Miyeon,Lammel,9999-01-01,d007,Sales
15329,Fan,Openshaw,9999-01-01,d005,Development
15330,Jaroslava,Chinal,9999-01-01,d007,Sales
15365,Mikhail,Schiettecatte,9999-01-01,d005,Development
15369,Premal,Penttonen,9999-01-01,d007,Sales
15372,Nahum,Broder,9999-01-01,d007,Sales
15377,Shugo,Aumann,9999-01-01,d005,Development
15382,Alassane,Siegrist,9999-01-01,d007,Sales
15392,Pradeep,Markovitch,9999-01-01,d005,Development
15412,Huai,Thiria,9999-01-01,d005,Development
15452,Kazuhira,Weedman,9999-01-01,d005,Development
15454,Hongzue,Cesareni,9999-01-01,d007,Sales
15474,Gilbert,Plumb,9999-01-01,d007,Sales
15480,Kwok,Trogemann,9999-01-01,d005,Development
15504,Kasturi,Alpin,9999-01-01,d005,Development
15510,Inderjeet,Sethi,9999-01-01,d005,Development
15511,George,Kowalchuk,9999-01-01,d007,Sales
15518,Uno,Valtorta,9999-01-01,d005,Development
15525,Masadi,Cherinka,9999-01-01,d005,Development
15566,Baoqiu,Azuma,9999-01-01,d007,Sales
15601,Carrsten,Anily,9999-01-01,d007,Sales
15703,Chenye,Hanratty,9999-01-01,d005,Development
15708,Reuven,Kushnir,9999-01-01,d007,Sales
15739,Poorav,Bahr,9999-01-01,d005,Development
15740,Stepehn,Pocchiola,9999-01-01,d007,Sales
15765,Tonny,Taubenfeld,9999-01-01,d005,Development
15799,Manton,Gelosh,9999-01-01,d007,Sales
15821,Aleksander,Antonakopoulos,9999-01-01,d005,Development
15876,Munehiro,Vakili,9999-01-01,d005,Development
15889,Sasan,Azumi,9999-01-01,d005,Development
15938,Garnik,Covnot,9999-01-01,d007,Sales
15948,Karoline,Versino,9999-01-01,d005,Development
15971,Arumugam,Aloia,9999-01-01,d005,Development
15993,Yoshimitsu,Peir,9999-01-01,d005,Development
16025,Doowon,Luce,9999-01-01,d005,Development
16052,Maria,Rodham,9999-01-01,d005,Development
16066,Marsha,Penn,9999-01-01,d007,Sales
16076,Marko,Ebeling,9999-01-01,d005,Development
16077,Kannan,Heemskerk,9999-01-01,d005,Development
16086,Mohammad,Denos,9999-01-01,d005,Development
16094,Berto,Rosar,9999-01-01,d005,Development
16130,Kerryn,Belinskaya,9999-01-01,d005,Development
16134,Annemarie,Chaudhuri,9999-01-01,d005,Development
16185,Marin,Winter,9999-01-01,d005,Development
16201,Krassimir,Olano,9999-01-01,d005,Development
16233,Sushant,Baba,9999-01-01,d007,Sales
16266,Mikhail,Sethi,9999-01-01,d007,Sales
16355,Nikolaos,Luca,9999-01-01,d007,Sales
16364,Yifei,Gini,9999-01-01,d007,Sales
16398,Limsoon,Krzyzanowski,9999-01-01,d007,Sales
16446,Jouko,Chinin,9999-01-01,d007,Sales
16448,Tsvetan,Zwicker,9999-01-01,d005,Development
16487,Arunas,Yemenis,9999-01-01,d007,Sales
16490,Muzhong,Thiria,9999-01-01,d007,Sales
16504,Mong,Cromarty,9999-01-01,d005,Development
16537,Weidon,Seiwald,9999-01-01,d005,Development
16546,Sangeeta,Lanphier,9999-01-01,d005,Development
16556,Mostafa,Hiltgen,9999-01-01,d005,Development
16607,Vishwani,Honglei,9999-01-01,d007,Sales
16619,Arvind,Boguraev,9999-01-01,d005,Development
16672,Georgi,Peris,9999-01-01,d007,Sales
16674,Duke,Takanami,9999-01-01,d005,Development
16716,Ramachenga,Zumaque,9999-01-01,d005,Development
16731,Domenico,Versino,9999-01-01,d005,Development
16799,Shigeichiro,Bamford,9999-01-01,d005,Development
16801,Gila,Strooper,9999-01-01,d005,Development
16803,Ziva,Rohrbach,9999-01-01,d005,Development
16808,Kiyokazu,Katiyar,9999-01-01,d007,Sales
16875,Nikolaos,Radhakrishnan,9999-01-01,d005,Development
16921,Evgueni,Yeung,9999-01-01,d007,Sales
16969,Sanjit,Braccini,9999-01-01,d005,Development
16993,Hongzue,Dahlbom,9999-01-01,d007,Sales
17012,Valdiodio,Petereit,9999-01-01,d005,Development
17018,Berhard,Tasistro,9999-01-01,d005,Development
17046,Fay,Kornyak,9999-01-01,d005,Development
17055,Marin,Wixon,9999-01-01,d005,Development
17063,Anoosh,Thiran,9999-01-01,d007,Sales
17066,Heping,Ruther,9999-01-01,d005,Development
17089,Rafail,Erman,9999-01-01,d007,Sales
17098,Xuedong,Gelosh,9999-01-01,d005,Development
17101,Sandeepan,Compeau,9999-01-01,d005,Development
17102,Radhika,Garnick,9999-01-01,d007,Sales
17146,Aemilian,Barbanera,9999-01-01,d007,Sales
17159,Quingbo,Mitchem,9999-01-01,d005,Development
17163,Yurii,Papsdorf,9999-01-01,d005,Development
17222,Leen,Muchinsky,9999-01-01,d005,Development
17235,Ronnie,Rissanen,9999-01-01,d005,Development
17245,Neven,Milicia,9999-01-01,d007,Sales
17260,Abdulah,Famili,9999-01-01,d005,Development
17277,Arnd,Hopewell,9999-01-01,d005,Development
17326,Arumugam,Ramsay,9999-01-01,d005,Development
17352,Muneo,Katiyar,9999-01-01,d007,Sales
17355,Mingzeng,Weisert,9999-01-01,d005,Development
17436,Chirstian,Munawer,9999-01-01,d007,Sales
17468,Abdelghani,Irland,9999-01-01,d007,Sales
17487,Gully,Staudhammer,9999-01-01,d005,Development
17520,Shahab,Keohane,9999-01-01,d005,Development
17539,Cathie,Uhrik,9999-01-01,d005,Development
17573,Berthier,Deverell,9999-01-01,d007,Sales
17582,Kauko,Spieker,9999-01-01,d005,Development
17629,Mostafa,Winter,9999-01-01,d007,Sales
17647,Vasilis,Swab,9999-01-01,d007,Sales
17674,Adib,Braccini,9999-01-01,d005,Development
17677,Mingdong,Ramalingam,9999-01-01,d005,Development
17699,Radhia,Heping,9999-01-01,d005,Development
17711,Owen,Katiyar,9999-01-01,d005,Development
17745,Hatem,Schreiter,9999-01-01,d005,Development
17791,Matt,Stifter,9999-01-01,d007,Sales
17815,Shuji,Wissmann,9999-01-01,d005,Development
17834,Zhilian,Fiutem,9999-01-01,d005,Development
17840,Tonny,Sherertz,9999-01-01,d005,Development
17874,Rutger,Minakawa,9999-01-01,d007,Sales
17891,Isaac,Luiz,9999-01-01,d005,Development
17900,Sakthirel,Belinskaya,9999-01-01,d005,Development
17916,Sukumar,Morrin,9999-01-01,d005,Development
17973,Sanjit,Beidas,9999-01-01,d005,Development
17986,Oguz,Angelopoulos,9999-01-01,d007,Sales
18013,Jiong,Shanbhogue,9999-01-01,d005,Development
18016,Somnath,Kaminger,9999-01-01,d007,Sales
18018,Sasan,Schrooten,9999-01-01,d007,Sales
18065,Chriss,Wroclawski,9999-01-01,d007,Sales
18099,Kazuhiko,Fendler,9999-01-01,d005,Development
18108,Sanjai,Genin,9999-01-01,d007,Sales
18134,Ult,Pesch,9999-01-01,d005,Development
18138,Moni,Baezner,9999-01-01,d005,Development
18210,Mabo,Radhakrishnan,9999-01-01,d005,Development
18261,Shridhar,Baak,9999-01-01,d005,Development
18274,Yefim,Karnin,9999-01-01,d007,Sales
18297,Guther,Nastansky,9999-01-01,d007,Sales
18310,Ioana,Dalton,9999-01-01,d005,Development
18316,Hongzue,Msuda,9999-01-01,d005,Development
18323,Oddvar,Tiemann,9999-01-01,d005,Development
18382,Remko,Mattern,9999-01-01,d005,Development
18401,Vidya,Itzfeldt,9999-01-01,d007,Sales
18443,Florina,Swick,9999-01-01,d007,Sales
18448,Rosine,Bazelow,9999-01-01,d005,Development
18454,Eric,Anido,9999-01-01,d007,Sales
18468,Kirk,Cunliffe,9999-01-01,d005,Development
18511,Pascal,Marzano,9999-01-01,d005,Development
18542,Tiina,Anido,9999-01-01,d005,Development
18571,Xinglin,Flowers,9999-01-01,d005,Development
18664,Itzchak,Akaboshi,9999-01-01,d007,Sales
18666,Hitofumi,Baja,9999-01-01,d005,Development
18671,Shan,Nastansky,9999-01-01,d005,Development
18673,Ohad,Orlowski,9999-01-01,d005,Development
18679,Roded,Lambe,9999-01-01,d007,Sales
18701,Mori,Ratnakar,9999-01-01,d007,Sales
18706,Debaprosad,Schicker,9999-01-01,d007,Sales
18725,Cullen,Marchegay,9999-01-01,d007,Sales
18728,Tzvetan,Luft,9999-01-01,d005,Development
18771,Domenick,Haraldson,9999-01-01,d007,Sales
18775,Shay,Akazan,9999-01-01,d005,Development
18789,Reinhold,Domenig,9999-01-01,d007,Sales
18790,Florina,Rahier,9999-01-01,d005,Development
18809,Laurentiu,Munoz,9999-01-01,d007,Sales
18833,Roded,Majewski,9999-01-01,d005,Development
18835,Uwe,Lieblein,9999-01-01,d005,Development
18888,Sajjan,Stassinopoulos,9999-01-01,d005,Development
18921,Maren,Radwan,9999-01-01,d005,Development
18927,Muneo,Msuda,9999-01-01,d005,Development
18933,Barun,Panienski,9999-01-01,d005,Development
18980,Weiye,Kawashimo,9999-01-01,d005,Development
18994,Leszek,Mitsuhashi,9999-01-01,d007,Sales
19006,Martina,Hempstead,9999-01-01,d005,Development
19012,Gal,Panangaden,9999-01-01,d007,Sales
19014,Jiafu,Danecki,9999-01-01,d007,Sales
19029,Khosrow,Jiang,9999-01-01,d005,Development
19031,Rosella,Pollock,9999-01-01,d007,Sales
19048,Nikolaus,Radhakrishnan,9999-01-01,d007,Sales
19051,Marek,Cappello,9999-01-01,d005,Development
19089,Badri,Ellozy,9999-01-01,d005,Development
19109,Jenwei,Denis,9999-01-01,d007,Sales
19120,Giri,Qiwen,9999-01-01,d005,Development
19134,Seongbin,Bakhtari,9999-01-01,d007,Sales
19147,Chaitali,Bennis,9999-01-01,d007,Sales
19192,Yinlin,Schusler,9999-01-01,d005,Development
19201,Arto,Sommen,9999-01-01,d007,Sales
19205,Moto,Sinitsyn,9999-01-01,d007,Sales
19259,Anoosh,Pelc,9999-01-01,d005,Development
19294,IEEE,Schoegge,9999-01-01,d005,Development
19333,Sanjeeva,Schrooten,9999-01-01,d005,Development
19353,Mayumi,Schaar,9999-01-01,d005,Development
19381,Xiahua,Holburn,9999-01-01,d007,Sales
19419,Palash,Bernardeschi,9999-01-01,d007,Sales
19425,Xuejia,Pettey,9999-01-01,d005,Development
19487,Huiqun,Cannane,9999-01-01,d005,Development
19488,Maris,Perly,9999-01-01,d005,Development
19515,Keiichiro,Gurbaxani,9999-01-01,d005,Development
19543,Chaitali,Perl,9999-01-01,d005,Development
19580,Stein,Tagansky,9999-01-01,d007,Sales
19586,Hirochika,Minakawa,9999-01-01,d005,Development
19616,Niranjan,Uchoa,9999-01-01,d005,Development
19621,Radhakrishnan,Albarhamtoshy,9999-01-01,d005,Development
19624,Younwoo,Wolniewicz,9999-01-01,d007,Sales
19629,Stepehn,Matzke,9999-01-01,d007,Sales
19633,Tayeb,Nourani,9999-01-01,d005,Development
19634,Phuoc,Etalle,9999-01-01,d007,Sales
19637,Dipayan,Papastamatiou,9999-01-01,d005,Development
19653,Gay,Crooks,9999-01-01,d005,Development
19663,Sverrir,Navazio,9999-01-01,d007,Sales
19665,Khalid,Zielinski,9999-01-01,d005,Development
19669,Shem,Honiden,9999-01-01,d007,Sales
19675,Isamu,Herath,9999-01-01,d007,Sales
19678,Xiping,Plotkin,9999-01-01,d005,Development
19708,Ortrud,Biros,9999-01-01,d007,Sales
19720,Kwangyoen,Maksimenko,9999-01-01,d005,Development
19723,Xuejun,Magalhaes,9999-01-01,d007,Sales
19724,Visit,Hasham,9999-01-01,d007,Sales
19728,Candido,Ramsey,9999-01-01,d007,Sales
19744,Aleksander,Skafidas,9999-01-01,d005,Development
19758,Rildo,Birdsall,9999-01-01,d005,Development
19777,Halsur,Ferretti,9999-01-01,d007,Sales
19826,Fox,Christ,9999-01-01,d007,Sales
19839,Tadahiro,Hempstead,9999-01-01,d005,Development
19841,Adil,Straney,9999-01-01,d007,Sales
19849,Weicheng,Serre,9999-01-01,d007,Sales
19874,Xuejia,Kuzuoka,9999-01-01,d007,Sales
19940,Reinhard,Einsfeld,9999-01-01,d007,Sales
19950,Jaroslava,Kusakari,9999-01-01,d005,Development
20006,Geoff,Birnbaum,9999-01-01,d005,Development
20013,Jaewoo,Lanphier,9999-01-01,d005,Development
20022,Felicidad,Bellone,9999-01-01,d005,Development
20037,Tse,VanScheik,9999-01-01,d005,Development
20042,Margareta,Munck,9999-01-01,d007,Sales
20043,Chikara,Adachi,9999-01-01,d005,Development
20059,Pranay,Panwar,9999-01-01,d005,Development
20060,Chrisa,Attimonelli,9999-01-01,d005,Development
20075,Mikhail,Oberman,9999-01-01,d005,Development
20148,Ibibia,Polupanov,9999-01-01,d007,Sales
20169,Gil,Zuberek,9999-01-01,d005,Development
20245,Halsur,Fujisawa,9999-01-01,d005,Development
20251,Cristinel,Unno,9999-01-01,d005,Development
20266,Ekawit,Kakkad,9999-01-01,d007,Sales
20284,Monique,Parascandalo,9999-01-01,d005,Development
20325,Katsuyuki,England,9999-01-01,d007,Sales
20334,Miquel,Frijda,9999-01-01,d005,Development
20339,Masami,Jumpertz,9999-01-01,d005,Development
20367,Bernt,Takanami,9999-01-01,d005,Development
20392,Terresa,Sidje,9999-01-01,d005,Development
20408,Debatosh,Smailagic,9999-01-01,d005,Development
20435,Oguz,Homond,9999-01-01,d007,Sales
20450,Abdelwaheb,Binkley,9999-01-01,d005,Development
20454,Nidapan,Gunderson,9999-01-01,d005,Development
20456,Sigeru,Highland,9999-01-01,d005,Development
20489,Boguslaw,Garrabrants,9999-01-01,d005,Development
20490,Soenke,Douceur,9999-01-01,d005,Development
20494,Lucien,Pagter,9999-01-01,d007,Sales
20498,Suvo,Gini,9999-01-01,d005,Development
20530,Nevio,Katiyar,9999-01-01,d005,Development
20534,Rosita,Kalloufi,9999-01-01,d007,Sales
20545,Woody,Chaudhury,9999-01-01,d007,Sales
20550,Koichi,Kabayashi,9999-01-01,d005,Development
20585,Bernd,Butterworth,9999-01-01,d005,Development
20621,Arumugam,Navazio,9999-01-01,d007,Sales
20624,Xiong,Nanard,9999-01-01,d005,Development
20651,Alexius,Vickson,9999-01-01,d005,Development
20666,Shushma,Linares,9999-01-01,d005,Development
20693,Yefim,Flasterstein,9999-01-01,d005,Development
20708,Aemilian,Arlazarov,9999-01-01,d007,Sales
20728,Billie,Sessa,9999-01-01,d007,Sales
20765,Steve,Viele,9999-01-01,d007,Sales
20793,Pranav,Luft,9999-01-01,d005,Development
20813,Srinidhi,Sinicrope,9999-01-01,d007,Sales
20836,Jingling,Alameldin,9999-01-01,d007,Sales
20903,Yagil,Kemmerer,9999-01-01,d005,Development
